Month,Solid_Wate_Category,Location,Type,Waste_Type,Amount_Pounds
7/1/2018,Commodity,4440 Western Av.,Drop off Center,Steel/Tim,760
7/1/2018,Commodity,4440 Western Av.,Drop off Center,Newspaper,
7/1/2018,Commodity,4440 Western Av.,Drop off Center,All Mixed (no glass),
7/1/2018,Commodity,341 Parkvillage,Drop off Center,Aluminum,6020
7/1/2018,Commodity,341 Parkvillage,Drop off Center,Plastics,35920
7/1/2018,Commodity,341 Parkvillage,Drop off Center,Glass,39420
7/1/2018,Commodity,341 Parkvillage,Drop off Center,Mixed Paper,90460
7/1/2018,Commodity,341 Parkvillage,Drop off Center,Cardboard,68140
7/1/2018,Commodity,341 Parkvillage,Drop off Center,Steel/Tim,4380
7/1/2018,Commodity,341 Parkvillage,Drop off Center,Newspaper,8090
7/1/2018,Commodity,341 Parkvillage,Drop off Center,All Mixed (no glass),
7/1/2018,Commodity,227 Willow Av.,Drop off Center,Aluminum,200
7/1/2018,Commodity,227 Willow Av.,Drop off Center,Plastics,3260
7/1/2018,Commodity,227 Willow Av.,Drop off Center,Glass,20600
7/1/2018,Commodity,227 Willow Av.,Drop off Center,Mixed Paper,10800
7/1/2018,Commodity,227 Willow Av.,Drop off Center,Cardboard,9660
7/1/2018,Commodity,227 Willow Av.,Drop off Center,Steel/Tim,520
7/1/2018,Commodity,227 Willow Av.,Drop off Center,Newspaper,
7/1/2018,Commodity,227 Willow Av.,Drop off Center,All Mixed (no glass),
7/1/2018,Commodity,Curbside City-Wide,Curbside,Aluminum,
7/1/2018,Commodity,Curbside City-Wide,Curbside,Plastics,
7/1/2018,Commodity,Curbside City-Wide,Curbside,Glass,
7/1/2018,Commodity,Curbside City-Wide,Curbside,Mixed Paper,
7/1/2018,Commodity,Curbside City-Wide,Curbside,Cardboard,
7/1/2018,Commodity,Curbside City-Wide,Curbside,Steel/Tim,
7/1/2018,Commodity,Curbside City-Wide,Curbside,Newspaper,
7/1/2018,Commodity,Curbside City-Wide,Curbside,All Mixed (no glass),
7/1/2018,Commodity,Downtown,Curbside,Aluminum,
7/1/2018,Commodity,Downtown,Curbside,Plastics,
7/1/2018,Commodity,Downtown,Curbside,Glass,
7/1/2018,Commodity,Downtown,Curbside,Mixed Paper,
7/1/2018,Commodity,Downtown,Curbside,Cardboard,4880
7/1/2018,Commodity,Downtown,Curbside,Steel/Tim,
7/1/2018,Commodity,Downtown,Curbside,Newspaper,
7/1/2018,Commodity,Downtown,Curbside,All Mixed (no glass),
7/1/2018,Commodity,KPD,Other,Aluminum,
7/1/2018,Commodity,KPD,Other,Plastics,
7/1/2018,Commodity,KPD,Other,Glass,
7/1/2018,Commodity,KPD,Other,Mixed Paper,10523
7/1/2018,Commodity,KPD,Other,Cardboard,
7/1/2018,Commodity,KPD,Other,Steel/Tim,
7/1/2018,Commodity,KPD,Other,Newspaper,
7/1/2018,Commodity,KPD,Other,All Mixed (no glass),
7/1/2018,Commodity,Recycling Trailer,Other,Aluminum,
7/1/2018,Commodity,Recycling Trailer,Other,Plastics,
7/1/2018,Commodity,Recycling Trailer,Other,Glass,
7/1/2018,Commodity,Recycling Trailer,Other,Mixed Paper,
7/1/2018,Commodity,Recycling Trailer,Other,Cardboard,
7/1/2018,Commodity,Recycling Trailer,Other,Steel/Tim,
7/1/2018,Commodity,Recycling Trailer,Other,Newspaper,
7/1/2018,Commodity,Recycling Trailer,Other,All Mixed (no glass),
7/1/2018,Landfill,Landfill Class 1,Waste,Transfer Station,1196.06
7/1/2018,Landfill,Landfill Class 1,Waste,Household Trash,3854.95
7/1/2018,Landfill,Landfill Class 1,Waste,Misc Trash,2.18
7/1/2018,Landfill,Landfill Class 1,Waste,Construction,
7/1/2018,Landfill,Landfill Class 1,Waste,Codes,
7/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Transfer Station,2182
7/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Household Trash,
7/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Misc Trash,
7/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Construction,384
7/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Codes,307
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Scrap Meta,58.9
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Tires,10.14
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Carpet,13.57
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW E-Waste,0
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Mixed Recycling,10.05
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Diverted,
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Scrap Meta,
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Tires,
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Carpet,
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW E-Waste,
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Mixed Recycling,
7/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Diverted,1.3
7/1/2018,Mulch (TONS),Citywide,Total,Leaves,
7/1/2018,Mulch (TONS),Citywide,Total,Brush,2392.5
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,Aluminum, 840 
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,Plastics," 6,700 "
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,Glass," 11,180 "
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,Mixed Paper," 20,360 "
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,Cardboard," 14,780 "
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,Steel/Tim, 520 
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,Newspaper, -   
8/1/2018,Commodity,Magnolia & Alice,Drop off Center,All Mixed (no glass),
8/1/2018,Commodity,225 Moody,Drop off Center,Aluminum, 540 
8/1/2018,Commodity,225 Moody,Drop off Center,Plastics," 4,580 "
8/1/2018,Commodity,225 Moody,Drop off Center,Glass," 9,120 "
8/1/2018,Commodity,225 Moody,Drop off Center,Mixed Paper," 19,520 "
8/1/2018,Commodity,225 Moody,Drop off Center,Cardboard," 8,860 "
8/1/2018,Commodity,225 Moody,Drop off Center,Steel/Tim, 420 
8/1/2018,Commodity,225 Moody,Drop off Center,Newspaper," 16,700 "
8/1/2018,Commodity,225 Moody,Drop off Center,All Mixed (no glass),
8/1/2018,Commodity,4440 Western Av.,Drop off Center,Aluminum, -   
8/1/2018,Commodity,4440 Western Av.,Drop off Center,Plastics," 6,620 "
8/1/2018,Commodity,4440 Western Av.,Drop off Center,Glass," 12,940 "
8/1/2018,Commodity,4440 Western Av.,Drop off Center,Mixed Paper," 9,780 "
8/1/2018,Commodity,4440 Western Av.,Drop off Center,Cardboard," 10,120 "
8/1/2018,Commodity,4440 Western Av.,Drop off Center,Steel/Tim,
8/1/2018,Commodity,4440 Western Av.,Drop off Center,Newspaper, -   
8/1/2018,Commodity,4440 Western Av.,Drop off Center,All Mixed (no glass),
8/1/2018,Commodity,341 Parkvillage,Drop off Center,Aluminum," 2,840 "
8/1/2018,Commodity,341 Parkvillage,Drop off Center,Plastics," 27,680 "
8/1/2018,Commodity,341 Parkvillage,Drop off Center,Glass," 43,680 "
8/1/2018,Commodity,341 Parkvillage,Drop off Center,Mixed Paper," 52,300 "
8/1/2018,Commodity,341 Parkvillage,Drop off Center,Cardboard," 33,020 "
8/1/2018,Commodity,341 Parkvillage,Drop off Center,Steel/Tim," 2,360 "
8/1/2018,Commodity,341 Parkvillage,Drop off Center,Newspaper," 12,160 "
8/1/2018,Commodity,341 Parkvillage,Drop off Center,All Mixed (no glass),
8/1/2018,Commodity,227 Willow Av.,Drop off Center,Aluminum, 80 
8/1/2018,Commodity,227 Willow Av.,Drop off Center,Plastics," 3,080 "
8/1/2018,Commodity,227 Willow Av.,Drop off Center,Glass," 17,460 "
8/1/2018,Commodity,227 Willow Av.,Drop off Center,Mixed Paper," 6,460 "
8/1/2018,Commodity,227 Willow Av.,Drop off Center,Cardboard," 9,000 "
8/1/2018,Commodity,227 Willow Av.,Drop off Center,Steel/Tim, 480 
8/1/2018,Commodity,227 Willow Av.,Drop off Center,Newspaper," 3,480 "
8/1/2018,Commodity,227 Willow Av.,Drop off Center,All Mixed (no glass),
8/1/2018,Commodity,Curbside City-Wide,Curbside,Aluminum,
8/1/2018,Commodity,Curbside City-Wide,Curbside,Plastics,
8/1/2018,Commodity,Curbside City-Wide,Curbside,Glass,
8/1/2018,Commodity,Curbside City-Wide,Curbside,Mixed Paper,
8/1/2018,Commodity,Curbside City-Wide,Curbside,Cardboard,
8/1/2018,Commodity,Curbside City-Wide,Curbside,Steel/Tim,
8/1/2018,Commodity,Curbside City-Wide,Curbside,Newspaper,
8/1/2018,Commodity,Curbside City-Wide,Curbside,All Mixed (no glass),
8/1/2018,Commodity,Downtown,Curbside,Aluminum,
8/1/2018,Commodity,Downtown,Curbside,Plastics,
8/1/2018,Commodity,Downtown,Curbside,Glass,
8/1/2018,Commodity,Downtown,Curbside,Mixed Paper,
8/1/2018,Commodity,Downtown,Curbside,Cardboard,10400.00
8/1/2018,Commodity,Downtown,Curbside,Steel/Tim,
8/1/2018,Commodity,Downtown,Curbside,Newspaper,
8/1/2018,Commodity,Downtown,Curbside,All Mixed (no glass),
8/1/2018,Commodity,KPD,Other,Aluminum,
8/1/2018,Commodity,KPD,Other,Plastics,
8/1/2018,Commodity,KPD,Other,Glass,
8/1/2018,Commodity,KPD,Other,Mixed Paper,8576.00
8/1/2018,Commodity,KPD,Other,Cardboard,
8/1/2018,Commodity,KPD,Other,Steel/Tim,
8/1/2018,Commodity,KPD,Other,Newspaper,
8/1/2018,Commodity,KPD,Other,All Mixed (no glass),
8/1/2018,Commodity,Recycling Trailer,Other,Aluminum,
8/1/2018,Commodity,Recycling Trailer,Other,Plastics,
8/1/2018,Commodity,Recycling Trailer,Other,Glass,
8/1/2018,Commodity,Recycling Trailer,Other,Mixed Paper,
8/1/2018,Commodity,Recycling Trailer,Other,Cardboard,
8/1/2018,Commodity,Recycling Trailer,Other,Steel/Tim,
8/1/2018,Commodity,Recycling Trailer,Other,Newspaper,
8/1/2018,Commodity,Recycling Trailer,Other,All Mixed (no glass),
8/1/2018,Landfill,Landfill Class 1,Waste,Transfer Station," 1,133.2 "
8/1/2018,Landfill,Landfill Class 1,Waste,Household Trash," 3,554.2 "
8/1/2018,Landfill,Landfill Class 1,Waste,Misc Trash, 1.9 
8/1/2018,Landfill,Landfill Class 1,Waste,Construction,
8/1/2018,Landfill,Landfill Class 1,Waste,Codes,
8/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Transfer Station," 2,249.0 "
8/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Household Trash,
8/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Misc Trash,
8/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Construction, 698.0 
8/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Codes, 209.0 
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Scrap Meta,55.8
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Tires,10.1
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Carpet,14.8
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW E-Waste,0.0
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Mixed Recycling,5.1
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Diverted,
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Scrap Meta,
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Tires,
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Carpet,
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW E-Waste,
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Mixed Recycling,
8/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Diverted,
8/1/2018,Mulch (TONS),Citywide,Total,Leaves,
8/1/2018,Mulch (TONS),Citywide,Total,Brush," 2,256.3 "
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,Aluminum,320
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,Plastics,3960
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,Glass,5820
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,Mixed Paper,13840
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,Cardboard,13200
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,Steel/Tim,600
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,Newspaper,
9/1/2018,Commodity,Magnolia & Alice,Drop off Center,All Mixed (no glass),
9/1/2018,Commodity,225 Moody,Drop off Center,Aluminum,
9/1/2018,Commodity,226 Moody,Drop off Center,Plastics,
9/1/2018,Commodity,227 Moody,Drop off Center,Glass,
9/1/2018,Commodity,228 Moody,Drop off Center,Mixed Paper,
9/1/2018,Commodity,229 Moody,Drop off Center,Cardboard,
9/1/2018,Commodity,230 Moody,Drop off Center,Steel/Tim,
9/1/2018,Commodity,231 Moody,Drop off Center,Newspaper,
9/1/2018,Commodity,232 Moody,Drop off Center,All Mixed (no glass),
9/1/2018,Commodity,4440 Western Av.,Drop off Center,Aluminum,340
9/1/2018,Commodity,4440 Western Av.,Drop off Center,Plastics,5520
9/1/2018,Commodity,4440 Western Av.,Drop off Center,Glass,12880
9/1/2018,Commodity,4440 Western Av.,Drop off Center,Mixed Paper,26700
9/1/2018,Commodity,4440 Western Av.,Drop off Center,Cardboard,11260
9/1/2018,Commodity,4440 Western Av.,Drop off Center,Steel/Tim,940
9/1/2018,Commodity,4440 Western Av.,Drop off Center,Newspaper,
9/1/2018,Commodity,4440 Western Av.,Drop off Center,All Mixed (no glass),
9/1/2018,Commodity,341 Parkvillage,Drop off Center,Aluminum,3000
9/1/2018,Commodity,341 Parkvillage,Drop off Center,Plastics,25850
9/1/2018,Commodity,341 Parkvillage,Drop off Center,Glass,37360
9/1/2018,Commodity,341 Parkvillage,Drop off Center,Mixed Paper,60860
9/1/2018,Commodity,341 Parkvillage,Drop off Center,Cardboard,37628
9/1/2018,Commodity,341 Parkvillage,Drop off Center,Steel/Tim,1600
9/1/2018,Commodity,341 Parkvillage,Drop off Center,Newspaper,
9/1/2018,Commodity,341 Parkvillage,Drop off Center,All Mixed (no glass),
9/1/2018,Commodity,227 Willow Av.,Drop off Center,Aluminum,300
9/1/2018,Commodity,227 Willow Av.,Drop off Center,Plastics,3580
9/1/2018,Commodity,227 Willow Av.,Drop off Center,Glass,17860
9/1/2018,Commodity,227 Willow Av.,Drop off Center,Mixed Paper,5680
9/1/2018,Commodity,227 Willow Av.,Drop off Center,Cardboard,8326
9/1/2018,Commodity,227 Willow Av.,Drop off Center,Steel/Tim,500
9/1/2018,Commodity,227 Willow Av.,Drop off Center,Newspaper,
9/1/2018,Commodity,227 Willow Av.,Drop off Center,All Mixed (no glass),
9/1/2018,Commodity,Curbside City-Wide,Curbside,Aluminum,
9/1/2018,Commodity,Curbside City-Wide,Curbside,Plastics,
9/1/2018,Commodity,Curbside City-Wide,Curbside,Glass,
9/1/2018,Commodity,Curbside City-Wide,Curbside,Mixed Paper,
9/1/2018,Commodity,Curbside City-Wide,Curbside,Cardboard,
9/1/2018,Commodity,Curbside City-Wide,Curbside,Steel/Tim,
9/1/2018,Commodity,Curbside City-Wide,Curbside,Newspaper,
9/1/2018,Commodity,Curbside City-Wide,Curbside,All Mixed (no glass),602574
9/1/2018,Commodity,Downtown,Curbside,Aluminum,
9/1/2018,Commodity,Downtown,Curbside,Plastics,
9/1/2018,Commodity,Downtown,Curbside,Glass,
9/1/2018,Commodity,Downtown,Curbside,Mixed Paper,
9/1/2018,Commodity,Downtown,Curbside,Cardboard,13840
9/1/2018,Commodity,Downtown,Curbside,Steel/Tim,
9/1/2018,Commodity,Downtown,Curbside,Newspaper,
9/1/2018,Commodity,Downtown,Curbside,All Mixed (no glass),68560
9/1/2018,Commodity,KPD,Other,Aluminum,
9/1/2018,Commodity,KPD,Other,Plastics,
9/1/2018,Commodity,KPD,Other,Glass,
9/1/2018,Commodity,KPD,Other,Mixed Paper,6139
9/1/2018,Commodity,KPD,Other,Cardboard,
9/1/2018,Commodity,KPD,Other,Steel/Tim,
9/1/2018,Commodity,KPD,Other,Newspaper,
9/1/2018,Commodity,KPD,Other,All Mixed (no glass),
9/1/2018,Commodity,Recycling Trailer,Other,Aluminum,
9/1/2018,Commodity,Recycling Trailer,Other,Plastics,
9/1/2018,Commodity,Recycling Trailer,Other,Glass,
9/1/2018,Commodity,Recycling Trailer,Other,Mixed Paper,
9/1/2018,Commodity,Recycling Trailer,Other,Cardboard,
9/1/2018,Commodity,Recycling Trailer,Other,Steel/Tim,
9/1/2018,Commodity,Recycling Trailer,Other,Newspaper,
9/1/2018,Commodity,Recycling Trailer,Other,All Mixed (no glass),
9/1/2018,Landfill,Landfill Class 1,Waste,Transfer Station,1003.78
9/1/2018,Landfill,Landfill Class 1,Waste,Household Trash,3212.14
9/1/2018,Landfill,Landfill Class 1,Waste,Misc Trash,1.8
9/1/2018,Landfill,Landfill Class 1,Waste,Construction,
9/1/2018,Landfill,Landfill Class 1,Waste,Codes,
9/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Transfer Station,1861
9/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Household Trash,
9/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Misc Trash,
9/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Construction,477
9/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Codes,402
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Scrap Meta,45.6
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Tires,0
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Carpet,0
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW E-Waste,3.63
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Mixed Recycling,0.84
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Diverted,
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Scrap Meta,
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Tires,
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Carpet,
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW E-Waste,
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Mixed Recycling,
9/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Diverted,
9/1/2018,Mulch (TONS),Citywide,Total,Leaves,
9/1/2018,Mulch (TONS),Citywide,Total,Brush,2442.15
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,Aluminum,360
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,Plastics,3440
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,Glass,2220
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,Mixed Paper,8840
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,Cardboard,11300
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,Steel/Tim,680
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,Newspaper,5420
10/1/2018,Commodity,Magnolia & Alice,Drop off Center,All Mixed (no glass),
10/1/2018,Commodity,225 Moody,Drop off Center,Aluminum,240
10/1/2018,Commodity,226 Moody,Drop off Center,Plastics,7260
10/1/2018,Commodity,227 Moody,Drop off Center,Glass,27160
10/1/2018,Commodity,228 Moody,Drop off Center,Mixed Paper,11440
10/1/2018,Commodity,229 Moody,Drop off Center,Cardboard,8400
10/1/2018,Commodity,230 Moody,Drop off Center,Steel/Tim,2520
10/1/2018,Commodity,231 Moody,Drop off Center,Newspaper,18540
10/1/2018,Commodity,232 Moody,Drop off Center,All Mixed (no glass),
10/1/2018,Commodity,4440 Western Av.,Drop off Center,Aluminum,640
10/1/2018,Commodity,4440 Western Av.,Drop off Center,Plastics,4380
10/1/2018,Commodity,4440 Western Av.,Drop off Center,Glass,12320
10/1/2018,Commodity,4440 Western Av.,Drop off Center,Mixed Paper,17040
10/1/2018,Commodity,4440 Western Av.,Drop off Center,Cardboard,7580
10/1/2018,Commodity,4440 Western Av.,Drop off Center,Steel/Tim,740
10/1/2018,Commodity,4440 Western Av.,Drop off Center,Newspaper,10780
10/1/2018,Commodity,4440 Western Av.,Drop off Center,All Mixed (no glass),
10/1/2018,Commodity,341 Parkvillage,Drop off Center,Aluminum,680
10/1/2018,Commodity,341 Parkvillage,Drop off Center,Plastics,25040
10/1/2018,Commodity,341 Parkvillage,Drop off Center,Glass,47860
10/1/2018,Commodity,341 Parkvillage,Drop off Center,Mixed Paper,69040
10/1/2018,Commodity,341 Parkvillage,Drop off Center,Cardboard,36020
10/1/2018,Commodity,341 Parkvillage,Drop off Center,Steel/Tim,2560
10/1/2018,Commodity,341 Parkvillage,Drop off Center,Newspaper,15040
10/1/2018,Commodity,341 Parkvillage,Drop off Center,All Mixed (no glass),
10/1/2018,Commodity,227 Willow Av.,Drop off Center,Aluminum,0
10/1/2018,Commodity,227 Willow Av.,Drop off Center,Plastics,2800
10/1/2018,Commodity,227 Willow Av.,Drop off Center,Glass,9260
10/1/2018,Commodity,227 Willow Av.,Drop off Center,Mixed Paper,4980
10/1/2018,Commodity,227 Willow Av.,Drop off Center,Cardboard,11160
10/1/2018,Commodity,227 Willow Av.,Drop off Center,Steel/Tim,0
10/1/2018,Commodity,227 Willow Av.,Drop off Center,Newspaper,5240
10/1/2018,Commodity,227 Willow Av.,Drop off Center,All Mixed (no glass),
10/1/2018,Commodity,Curbside City-Wide,Curbside,Aluminum,
10/1/2018,Commodity,Curbside City-Wide,Curbside,Plastics,
10/1/2018,Commodity,Curbside City-Wide,Curbside,Glass,
10/1/2018,Commodity,Curbside City-Wide,Curbside,Mixed Paper,
10/1/2018,Commodity,Curbside City-Wide,Curbside,Cardboard,
10/1/2018,Commodity,Curbside City-Wide,Curbside,Steel/Tim,
10/1/2018,Commodity,Curbside City-Wide,Curbside,Newspaper,
10/1/2018,Commodity,Curbside City-Wide,Curbside,All Mixed (no glass),849650
10/1/2018,Commodity,Downtown,Curbside,Aluminum,
10/1/2018,Commodity,Downtown,Curbside,Plastics,
10/1/2018,Commodity,Downtown,Curbside,Glass,
10/1/2018,Commodity,Downtown,Curbside,Mixed Paper,
10/1/2018,Commodity,Downtown,Curbside,Cardboard,34380
10/1/2018,Commodity,Downtown,Curbside,Steel/Tim,
10/1/2018,Commodity,Downtown,Curbside,Newspaper,
10/1/2018,Commodity,Downtown,Curbside,All Mixed (no glass),179710
10/1/2018,Commodity,KPD,Other,Aluminum,
10/1/2018,Commodity,KPD,Other,Plastics,
10/1/2018,Commodity,KPD,Other,Glass,
10/1/2018,Commodity,KPD,Other,Mixed Paper,4958
10/1/2018,Commodity,KPD,Other,Cardboard,
10/1/2018,Commodity,KPD,Other,Steel/Tim,
10/1/2018,Commodity,KPD,Other,Newspaper,
10/1/2018,Commodity,KPD,Other,All Mixed (no glass),
10/1/2018,Commodity,Recycling Trailer,Other,Aluminum,
10/1/2018,Commodity,Recycling Trailer,Other,Plastics,
10/1/2018,Commodity,Recycling Trailer,Other,Glass,
10/1/2018,Commodity,Recycling Trailer,Other,Mixed Paper,
10/1/2018,Commodity,Recycling Trailer,Other,Cardboard,
10/1/2018,Commodity,Recycling Trailer,Other,Steel/Tim,
10/1/2018,Commodity,Recycling Trailer,Other,Newspaper,
10/1/2018,Commodity,Recycling Trailer,Other,All Mixed (no glass),
10/1/2018,Landfill,Landfill Class 1,Waste,Transfer Station,1216
10/1/2018,Landfill,Landfill Class 1,Waste,Household Trash,3591.5
10/1/2018,Landfill,Landfill Class 1,Waste,Misc Trash,3.4
10/1/2018,Landfill,Landfill Class 1,Waste,Construction,
10/1/2018,Landfill,Landfill Class 1,Waste,Codes,
10/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Transfer Station,2246.3
10/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Household Trash,
10/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Misc Trash,
10/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Construction,
10/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Codes,
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Scrap Meta,64.67
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Tires,10.36
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Carpet,0
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW E-Waste,0
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Mixed Recycling,2.8
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Diverted,
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Scrap Meta,
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Tires,
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Carpet,
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW E-Waste,
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Mixed Recycling,
10/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Diverted,
10/1/2018,Mulch (TONS),Citywide,Total,Leaves,133.25
10/1/2018,Mulch (TONS),Citywide,Total,Brush,1922
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,Aluminum, 898 
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,Plastics," 4,740 "
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,Glass," 8,720 "
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,Mixed Paper," 10,300 "
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,Cardboard," 6,820 "
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,Steel/Tim," 2,080 "
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,Newspaper, -   
11/1/2018,Commodity,Magnolia & Alice,Drop off Center,All Mixed (no glass),
11/1/2018,Commodity,225 Moody,Drop off Center,Aluminum, -   
11/1/2018,Commodity,226 Moody,Drop off Center,Plastics," 7,140 "
11/1/2018,Commodity,227 Moody,Drop off Center,Glass," 12,020 "
11/1/2018,Commodity,228 Moody,Drop off Center,Mixed Paper," 43,100 "
11/1/2018,Commodity,229 Moody,Drop off Center,Cardboard," 10,080 "
11/1/2018,Commodity,230 Moody,Drop off Center,Steel/Tim," 1,700 "
11/1/2018,Commodity,231 Moody,Drop off Center,Newspaper, -   
11/1/2018,Commodity,232 Moody,Drop off Center,All Mixed (no glass),
11/1/2018,Commodity,4440 Western Av.,Drop off Center,Aluminum," 1,190 "
11/1/2018,Commodity,4440 Western Av.,Drop off Center,Plastics," 6,000 "
